dt_sismo,fecha_sismo,hora_sismo,latitude,longitude,profundidad,mag,ubicacion,pais
2023-06-15 19:07:34.652000+00:00,2023-06-15,19:07:34.652000,-34.5264,-71.8898,43.6,5.0,"49 km WNW of Santa Cruz, Chile",Chile
2023-06-16 09:07:49.823000+00:00,2023-06-16,09:07:49.823000,-30.4029,-72.208,13.962,4.4,"97 km WSW of Coquimbo, Chile",Chile
2023-06-16 23:48:18.538000+00:00,2023-06-16,23:48:18.538000,-20.6453,-70.6888,31.267,4.2,"70 km SW of La Tirana, Chile",Chile
2023-06-17 22:31:37.479000+00:00,2023-06-17,22:31:37.479000,-34.8682,-70.9831,105.16,4.8,Chile-Argentina border region,Chile
2023-06-17 22:52:37.117000+00:00,2023-06-17,22:52:37.117000,-20.54,-70.6485,35.0,3.6,"61 km WSW of La Tirana, Chile",Chile
2023-06-18 11:47:57.288000+00:00,2023-06-18,11:47:57.288000,-24.2364,-70.167,60.686,4.2,"Near the coast of Antofagasta, Chile",Chile
2023-06-18 16:26:34.430000+00:00,2023-06-18,16:26:34.430000,-29.8767,-72.122,10.0,4.2,"76 km W of Coquimbo, Chile",Chile
2023-06-27 10:02:21.666000+00:00,2023-06-27,10:02:21.666000,-30.1304,-71.3012,65.363,4.6,"19 km S of Coquimbo, Chile",Chile
2023-06-29 06:52:33.088000+00:00,2023-06-29,06:52:33.088000,-35.7461,-73.422,21.6,4.3,"Off the coast of Maule, Chile",Chile
2023-06-30 15:16:41.445000+00:00,2023-06-30,15:16:41.445000,-35.719,-73.4049,10.0,4.1,"99 km NW of Quirihue, Chile",Chile
2023-07-03 10:31:03.285000+00:00,2023-07-03,10:31:03.285000,-24.0015,-71.5704,25.277,4.5,"Off the coast of Antofagasta, Chile",Chile
2023-07-03 21:33:46.207000+00:00,2023-07-03,21:33:46.207000,-30.5772,-71.6781,31.138,4.2,"46 km W of Ovalle, Chile",Chile
2023-07-07 09:17:23.173000+00:00,2023-07-07,09:17:23.173000,-32.7523,-71.9165,26.188,4.5,"41 km NW of Valparaíso, Chile",Chile
2023-07-08 03:52:51.935000+00:00,2023-07-08,03:52:51.935000,-32.0678,-71.6953,60.704,4.3,,Chile
2023-07-09 17:11:33.953000+00:00,2023-07-09,17:11:33.953000,-33.2122,-70.3268,101.785,5.6,"31 km ENE of Chicureo Abajo, Chile",Chile
2023-07-10 15:37:46.423000+00:00,2023-07-10,15:37:46.423000,-32.6634,-71.5491,27.455,3.7,"33 km WNW of Hacienda La Calera, Chile",Chile
2023-07-11 01:11:38.057000+00:00,2023-07-11,01:11:38.057000,-33.116,-72.1299,22.007,4.5,"47 km W of Valparaíso, Chile",Chile
